DOI,grantid__bmgf,publisher_simple,journal,journal_oa_type,published_date,oa_status,publisher_license_best,apc_cost,invoice_number,invoice_date,invoice_year
10.4269/ajtmh.22-0736,OPP1162700,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-07-05,hybrid,cc-by,4000,TROP63780,2023-05-17,2023
10.3389/fmicb.2023.1181317,,frontiers,Frontiers in Microbiology,gold,2023-07-05,gold,cc-by,3230,2023-0971129-1,2023-07-07,2023
10.3390/vaccines11071206,OPP1211074,mdpi,Vaccines,gold,2023-07-05,gold,cc-by,2170,BMGF_Q2.2023,2023-07-12,2023
10.1126/sciadv.ade8903,,american association for the advancement of science (aaas),Science Advances,gold,2023-07-05,hybrid,cc-by,4050,APC600435905,2023-07-21,2023
10.12688/gatesopenres.14112.1,OPP1169824,f1000 research ltd,Gates Open Research,closed,2023-07-04,,cc-by,1150,6686127656,2023-01-07,2023
10.12688/gatesopenres.13631.3,OPP1169939,f1000 research ltd,Gates Open Research,gold,2023-07-04,gold,cc-by,2660,6686126626,2022-06-08,2022
10.12688/gatesopenres.14724.1,INV-004274,f1000 research ltd,Gates Open Research,gold,2023-07-04,gold,cc-by,1180,6686128560,2023-07-07,2023
10.12688/gatesopenres.14743.1,OPP12109388;INV-000861;INV-008612,f1000 research ltd,Gates Open Research,gold,2023-07-04,gold,cc-by,880,6686128560,2023-07-07,2023
10.3389/fnut.2023.1185696,,frontiers,Frontiers in Nutrition,gold,2023-07-04,gold,cc-by,3230,2023-0971129-1,2023-07-07,2023
10.3389/fimmu.2023.1172851,INV-017302,frontiers,Frontiers in Immunology,gold,2023-07-03,gold,cc-by,2020,2023-0971129-1,2023-07-07,2023
10.3390/nu15133024,INV-002945,mdpi,Nutrients,gold,2023-07-03,gold,cc-by,2630,BMGF_Q2.2023,2023-07-12,2023
10.1371/journal.pgph.0001063,,plos,PLOS Global Public Health,gold,2023-07-03,gold,cc-by,2100,PAB 360188.00,2023-08-04,2023
10.1136/bmjgh-2022-011405,INV-034554,bmj,BMJ Global Health,closed,2023-07-01,,cc-by,1870,APC600417937,2023-05-21,2023
10.1136/bmjgh-2022-011341,INV-006816,bmj,BMJ Global Health,closed,2023-07-01,,cc-by,3730,APC600422010,2023-06-02,2023
10.1136/bmjopen-2022-069086,INV-010563,bmj,BMJ Open,closed,2023-07-01,,cc-by,2800,APC600428074,2023-06-26,2023
10.1136/bmjopen-2022-070896,INV-001423,bmj,BMJ Open,closed,2023-07-01,,cc-by,2800,APC600427659,2023-06-26,2023
10.1016/j.neuroimage.2023.120153,OPP1061089,elsevier,NeuroImage,gold,2023-07-01,gold,cc-by,3450,1310171,2023-06-22,2023
10.1016/j.neuroimage.2023.120116,,elsevier,NeuroImage,gold,2023-07-01,,cc-by,3450,1310171,2023-06-22,2023
10.1016/s2214-109x(23)00193-6,,elsevier,The Lancet Global Health,gold,2023-07-01,gold,cc-by,5500,1310171,2023-06-22,2023
10.1016/j.neuroimage.2023.120162,,elsevier,NeuroImage,gold,2023-07-01,hybrid,cc-by,3450,1310171,2023-06-22,2023
10.1136/bmjopen-2022-070283,INV-004939,bmj,BMJ Open,closed,2023-07-01,,cc-by,3010,APC600429064,2023-06-30,2023
10.1136/bmjopen-2022-069590,OPP1202541,bmj,BMJ Open,closed,2023-07-01,,cc-by,3360,APC600429063,2023-06-30,2023
10.1136/bmjopen-2022-070876,INV-040665;INV-007332,bmj,BMJ Open,closed,2023-07-01,,cc-by,2800,APC600429885,2023-06-30,2023
10.1136/bmjgh-2023-013104,INV-042531,bmj,BMJ Global Health,gold,2023-07-01,gold,cc-by,2170,APC600432199,2023-07-12,2023
10.1136/bmjopen-2022-071511,INV-007332,bmj,BMJ Open,gold,2023-07-01,,cc-by,2890,APC600432641,2023-07-12,2023
10.1136/bmjopen-2023-071775,OPP1198333;OPP1198339,bmj,BMJ Open,gold,2023-07-01,gold,cc-by,2890,APC600433124,2023-07-12,2023
10.1016/j.socscimed.2023.116007,,elsevier,Social Science &amp; Medicine,transformative,2023-07-01,green,cc-by-nc-nd,3360,1315170,2023-07-07,2023
10.1016/j.fcr.2023.108987,,elsevier,Field Crops Research,transformative,2023-07-01,hybrid,cc-by,3970,1315170,2023-07-07,2023
10.1016/s2214-109x(23)00211-5,,elsevier,The Lancet Global Health,gold,2023-07-01,green,cc-by,5500,1315170,2023-07-07,2023
10.1016/s2214-109x(23)00191-2,,elsevier,The Lancet Global Health,gold,2023-07-01,hybrid,cc-by,5500,1315170,2023-07-07,2023
10.1016/s2666-5247(23)00109-x,OPP1161913,elsevier,The Lancet Microbe,gold,2023-07-01,gold,cc-by,6000,1315170,2023-07-07,2023
10.1016/j.isci.2023.107001,,elsevier,iScience,gold,2023-07-01,gold,cc-by,3000,1315170,2023-07-07,2023
10.1016/j.foodpol.2023.102484,,elsevier,Food Policy,transformative,2023-07-01,hybrid,cc-by,3270,1315170,2023-07-07,2023
10.1016/j.vaccine.2023.06.001,OPP1120084,elsevier,Vaccine,transformative,2023-07-01,hybrid,cc-by,3350,1315170,2023-07-07,2023
10.1016/j.chom.2023.05.025,,elsevier,Cell Host &amp; Microbe,transformative,2023-07-01,hybrid,cc-by,9080,1315170,2023-07-07,2023
10.1016/j.ijpharm.2023.123139,,elsevier,International Journal of Pharmaceutics,transformative,2023-07-01,hybrid,cc-by,4050,1315170,2023-07-07,2023
10.1016/j.isci.2023.107023,OPP1180644,elsevier,iScience,gold,2023-07-01,,cc-by,3000,1315170,2023-07-07,2023
10.1016/j.vaccine.2023.06.059,,elsevier,Vaccine,transformative,2023-07-01,hybrid,cc-by-nc-nd,3350,1315170,2023-07-07,2023
10.1016/s2214-109x(23)00195-x,,elsevier,The Lancet Global Health,gold,2023-07-01,gold,cc-by,5500,1315170,2023-07-07,2023
10.1016/j.foodpol.2023.102485,OPP1177007,elsevier,Food Policy,transformative,2023-07-01,hybrid,cc-by,3270,1315170,2023-07-07,2023
10.1136/bmjgh-2023-013021,,bmj,BMJ Global Health,gold,2023-07-01,gold,cc-by,5100,APC600434715,2023-07-19,2023
10.1016/j.cell.2023.06.001,,elsevier,Cell,transformative,2023-07-01,bronze,cc-by-nc-nd,9900,1323170,2023-08-01,2023
10.1016/j.xcrm.2023.101096,,elsevier,Cell Reports Medicine,gold,2023-07-01,gold,cc-by,4160,1323170,2023-08-01,2023
10.1016/j.ebiom.2023.104678,,elsevier,eBioMedicine,gold,2023-07-01,gold,cc-by,5000,1323170,2023-08-01,2023
10.1016/j.celrep.2023.112682,,elsevier,Cell Reports,gold,2023-07-01,gold,cc-by,5200,1323170,2023-08-01,2023
10.1016/j.cdnut.2023.101962,,elsevier,Current Developments in Nutrition,gold,2023-07-01,gold,cc-by,4000,1323170,2023-08-01,2023
10.1093/ve/vead044,,oxford university press,Virus Evolution,gold,2023-07-01,gold,cc-by,3000,SOA23NC000297,2023-09-04,2023
10.1016/s2542-5196(23)00125-0,,elsevier,The Lancet Planetary Health,gold,2023-07-01,gold,cc-by,5780,1325170,2023-09-08,2023
10.1016/j.advnut.2023.07.004,,elsevier,Advances in Nutrition,hybrid,2023-07-01,,cc-by,5000,1325170,2023-09-08,2023
10.7189/jogh.13.06025,INV-007326,international society of global health,Journal of Global Health,gold,2023-06-30,gold,cc-by,3280,916,2023-05-21,2023
10.1186/s12936-023-04609-z,INV-016322,springer/nature/bmc,Malaria Journal,gold,2023-06-30,gold,cc-by,2770,6106669357,2023-06-15,2023
10.1021/acsenvironau.2c00072,INV-006612,american chemical society,ACS Environmental Au,gold,2023-06-30,gold,cc-by,3000,APC600430742,2023-07-07,2023
10.3389/fsufs.2023.1202015,,frontiers,Frontiers in Sustainable Food Systems,gold,2023-06-30,gold,cc-by,2080,2023-0971129-1,2023-07-07,2023
10.1007/s11033-023-08498-y,,springer/nature/bmc,Molecular Biology Reports,transformative,2023-06-30,hybrid,cc-by,3870,1452460312,2023-08-17,2023
10.3389/fnut.2023.1048532,,frontiers,Frontiers in Nutrition,closed,2023-06-29,,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.1371/journal.pone.0287722,,plos,PLOS ONE,gold,2023-06-29,gold,cc-by,1810,PAB 360188.00,2023-08-04,2023
10.1371/journal.ppat.1011469,,plos,PLOS Pathogens,gold,2023-06-29,gold,cc-by,2660,PAB 361805.00,2023-09-08,2023
10.3389/fnut.2023.1180134,,frontiers,Frontiers in Nutrition,closed,2023-06-28,,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.1038/s41598-023-35694-4,INV-023488,springer/nature/bmc,Scientific Reports,gold,2023-06-28,gold,cc-by,2630,1452463113,2023-06-26,2023
10.1016/j.midw.2023.103717,,elsevier,Midwifery,transformative,2023-06-28,closed,cc-by,3300,1310171,2023-06-22,2023
10.1007/s11113-023-09809-8,INV-017300,springer/nature/bmc,Population Research and Policy Review,transformative,2023-06-28,hybrid,cc-by,3070,1452467411,2023-06-30,2023
10.3389/fpls.2023.1214801,OPP1194767,frontiers,Frontiers in Plant Science,gold,2023-06-28,gold,cc-by,3230,2023-0971129-1,2023-07-07,2023
10.1001/jamanetworkopen.2023.20213,OPP1117416,american medical association (ama),JAMA Network Open,gold,2023-06-26,gold,cc-by-nc-nd,3000,APC600416961,2023-05-21,2023
10.1038/s41467-023-39433-1,OPP1149233,springer/nature/bmc,Nature Communications,gold,2023-06-26,gold,cc-by,6290,1452468455,2023-06-30,2023
10.3389/fsufs.2023.1155279,,frontiers,Frontiers in Sustainable Food Systems,gold,2023-06-26,gold,cc-by,700,2023-0971129-1,2023-07-07,2023
10.3389/fped.2023.1127885,,frontiers,Frontiers in Pediatrics,gold,2023-06-26,gold,cc-by,3230,2023-0971129-1,2023-07-07,2023
10.1371/journal.pone.0287626,,plos,PLOS ONE,gold,2023-06-26,gold,cc-by,1700,PAB 360188.00,2023-08-04,2023
10.1186/s12978-023-01641-9,,springer/nature/bmc,Reproductive Health,gold,2023-06-26,gold,cc-by,2970,1452468011,2023-08-17,2023
10.1016/j.foodpol.2023.102478,,elsevier,Food Policy,transformative,2023-06-25,hybrid,cc-by,2970,1315170,2023-07-07,2023
10.1186/s12870-023-04349-x,INV-007637,springer/nature/bmc,BMC Plant Biology,gold,2023-06-23,gold,cc-by,2870,1452465081,2023-06-26,2023
10.1038/s43018-023-00576-1,INV-027106,springer/nature/bmc,Nature Cancer,closed,2023-06-22,,cc-by,11690,1452456907,2023-06-09,2023
10.3389/fpubh.2023.1189861,,frontiers,Frontiers in Public Health,closed,2023-06-22,,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.1021/acsptsci.3c00034,INV-040487,american chemical society,ACS Pharmacology &amp; Translational Science,transformative,2023-06-22,hybrid,cc-by,3000,APC600430742,2023-07-07,2023
10.3390/ijms241310506,INV-003439,mdpi,International Journal of Molecular Sciences,gold,2023-06-22,gold,cc-by,2390,BMGF_Q2.2023,2023-07-12,2023
10.1186/s12889-023-16139-z,,springer/nature/bmc,BMC Public Health,gold,2023-06-22,gold,cc-by,3070,1452465873,2023-08-17,2023
10.3389/frfst.2023.1071216,,frontiers,Frontiers in Food Science and Technology,closed,2023-06-21,,cc-by,2080,2023-0950497-1,2023-06-07,2023
10.3389/fpsyg.2023.1196274,INV-006167,frontiers,Frontiers in Psychology,closed,2023-06-21,,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.1186/s12879-023-08396-5,INV-006739,springer/nature/bmc,BMC Infectious Diseases,gold,2023-06-21,gold,cc-by,2770,6106670940,2023-06-26,2023
10.1038/s41598-023-35958-z,OPP1200155,springer/nature/bmc,Scientific Reports,gold,2023-06-21,gold,cc-by,2470,1452464257,2023-06-30,2023
10.3389/fsufs.2023.1121434,,frontiers,Frontiers in Sustainable Food Systems,closed,2023-06-20,,cc-by,2080,2023-0950497-1,2023-06-07,2023
10.3389/fgene.2023.1180941,OPP1194767,frontiers,Frontiers in Genetics,closed,2023-06-20,,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.7554/elife.84864,OPP1155704,"elife sciences publications, ltd",eLife,closed,2023-06-20,,cc-by,3000,P011191,2023-06-15,2023
10.1186/s12913-023-09647-6,OPP1079004;OPP10709004,springer/nature/bmc,BMC Health Services Research,closed,2023-06-20,,cc-by,2620,1452460700,2023-06-18,2023
10.1021/acsestengg.3c00128,INV-003227,american chemical society,ACS ES&amp;T Engineering,transformative,2023-06-20,hybrid,cc-by,3000,APC600430742,2023-07-07,2023
10.1371/journal.ppat.1011448,,plos,PLOS Pathogens,gold,2023-06-20,gold,cc-by,2660,PAB 360188.00,2023-08-04,2023
10.3389/fnut.2023.1125827,OPP1190179,frontiers,Frontiers in Nutrition,closed,2023-06-19,,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.1007/s42976-023-00395-1,OPP1019962,springer/nature/bmc,Cereal Research Communications,transformative,2023-06-17,hybrid,cc-by,2970,1452461783,2023-06-22,2023
10.1016/j.jctube.2023.100372,OPP1176950,elsevier,Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,gold,2023-06-17,green,cc-by,1490,1300171,2023-06-22,2023
10.7189/jogh.13.04058,INV-006966,international society of global health,Journal of Global Health,gold,2023-06-16,gold,cc-by,3280,901,2023-05-01,2023
10.1186/s12884-023-05755-7,INV-006966;OPP1172551,springer/nature/bmc,BMC Pregnancy and Childbirth,gold,2023-06-16,gold,cc-by,2530,1452461792,2023-06-18,2023
10.1371/journal.pntd.0011425,,plos,PLOS Neglected Tropical Diseases,gold,2023-06-16,gold,cc-by,2500,PAB 361805.00,2023-09-08,2023
10.1128/spectrum.03731-22,INV-016821,american society for microbiology,Microbiology Spectrum,gold,2023-06-15,,cc-by,2900,APC600414890,2023-05-10,2023
10.3389/fsufs.2023.1143753,,frontiers,Frontiers in Sustainable Food Systems,closed,2023-06-15,,cc-by,2080,2023-0950497-1,2023-06-07,2023
10.3389/fsufs.2023.1129779,OPP1019962,frontiers,Frontiers in Sustainable Food Systems,closed,2023-06-15,,cc-by,2080,2023-0950497-1,2023-06-07,2023
10.1038/s41598-023-35968-x,OPP1083453,springer/nature/bmc,Scientific Reports,closed,2023-06-14,,cc-by,2470,1452453098,2023-06-02,2023
10.3390/plants12122314,INV-003439,mdpi,Plants,gold,2023-06-14,gold,cc-by,2430,BMGF_Q2.2023,2023-07-12,2023
10.3390/vaccines11061099,OPP1192002,mdpi,Vaccines,gold,2023-06-14,gold,cc-by,2230,BMGF_Q2.2023,2023-07-12,2023
10.3390/agronomy13061605,,mdpi,Agronomy,gold,2023-06-14,gold,cc-by,2230,BMGF_Q2.2023,2023-07-12,2023
10.1371/journal.pgph.0001325,,plos,PLOS Global Public Health,gold,2023-06-14,gold,cc-by,2100,PAB 360188.00,2023-08-04,2023
10.1186/s12961-023-00986-8,OPP1149259,springer/nature/bmc,Health Research Policy and Systems,gold,2023-06-13,gold,cc-by,4030,6106667242,2023-06-09,2023
10.1016/j.envres.2023.115911,,elsevier,Environmental Research,transformative,2023-06-13,hybrid,cc-by,3550,1300171,2023-06-22,2023
10.3390/agronomy13061594,OPP1198373,mdpi,Agronomy,gold,2023-06-13,gold,cc-by,2230,BMGF_Q2.2023,2023-07-12,2023
10.1371/journal.pmed.1004178,OPP1190803,plos,PLOS Medicine,closed,2023-06-13,,cc-by,5300,PAB 356703.00,2023-05-25,2023
10.1371/journal.pdig.0000217,OPP1002407,plos,PLOS Digital Health,closed,2023-06-12,,cc-by,2580,PAB 356702.00,2023-05-25,2023
10.1186/s12889-023-15792-8,OPP1155935,springer/nature/bmc,BMC Public Health,gold,2023-06-12,,cc-by,2620,1452441801,2023-05-25,2023
10.1038/s41598-023-36002-w,INV-002098,springer/nature/bmc,Scientific Reports,closed,2023-06-12,,cc-by,2470,1452452820,2023-06-02,2023
10.3389/fpubh.2023.1165110,,frontiers,Frontiers in Public Health,closed,2023-06-12,,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.1371/journal.ppat.1011194,,plos,PLOS Pathogens,gold,2023-06-12,,cc-by,2660,PAB 360188.00,2023-08-04,2023
10.1038/s41598-023-36432-6,INV-019496;OPP19496,springer/nature/bmc,Scientific Reports,gold,2023-06-10,,cc-by,2890,2939069744,2023-06-26,2023
10.1097/md.0000000000033904,INV-017069,wolters kluwer,Medicine,closed,2023-06-09,,cc-by,1950,APC600417107,2023-05-21,2023
10.7189/jogh.13.04057,INV-010594,international society of global health,Journal of Global Health,gold,2023-06-09,,,2670,899,2023-06-02,2023
10.3390/pathogens12060820,OPP1213871,mdpi,Pathogens,gold,2023-06-09,,cc-by,2230,BMGF_Q2.2023,2023-07-12,2023
10.1371/journal.pone.0286785,,plos,PLOS ONE,gold,2023-06-09,,cc-by,1810,PAB 360188.00,2023-08-04,2023
10.7189/jogh.13.04044,OPP1169546,international society of global health,Journal of Global Health,gold,2023-06-08,gold,cc-by,2340,843,2023-03-30,2023
10.7189/jogh.13.06019,OPP1169546,international society of global health,Journal of Global Health,gold,2023-06-08,gold,cc-by,2340,844,2023-03-30,2023
10.1038/s42003-023-04997-7,INV-019032,springer/nature/bmc,Communications Biology,gold,2023-06-08,,cc-by,3770,1452456942,2023-06-09,2023
10.3389/fgene.2023.1115973,OPP1127286,frontiers,Frontiers in Genetics,gold,2023-06-08,,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.3389/fbioe.2023.1205865,INV-008525,frontiers,Frontiers in Bioengineering and Biotechnology,gold,2023-06-08,,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.4269/ajtmh.22-0659,OPP47075,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-06-07,hybrid,cc-by,3500,TROP63100,2023-03-20,2023
10.4269/ajtmh.22-0347,INV-002050,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-06-07,hybrid,cc-by,3000,TROP-6349-0,2023-04-09,2023
10.4269/ajtmh.22-0625,INV-010638,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-06-07,closed,cc-by,2500,TROP63400,2023-04-14,2023
10.4269/ajtmh.22-0442,OPP50816,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-06-07,,cc-by,2500,TROP63500,2023-05-01,2023
10.4269/ajtmh.22-0623,INV-010638,american society of tropical medicine and hygiene,The American Journal of Tropical Medicine and Hygiene,transformative,2023-06-07,,cc-by,3500,TROP63620,2023-05-01,2023
10.1186/s12936-023-04583-6,INV-009362;OPP1181807,springer/nature/bmc,Malaria Journal,gold,2023-06-06,gold,cc-by,2770,6106665061,2023-05-25,2023
10.1186/s12978-023-01627-7,INV-007809,springer/nature/bmc,Reproductive Health,gold,2023-06-06,gold,cc-by,2970,6106667538,2023-06-09,2023
10.3389/fvets.2023.1171989,,frontiers,Frontiers in Veterinary Science,gold,2023-06-06,gold,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.3389/fgwh.2023.1168297,,frontiers,Frontiers in Global Women's Health,gold,2023-06-06,gold,cc-by,960,2023-0950497-1,2023-06-07,2023
10.1001/jamanetworkopen.2023.17055,INV-002992,american medical association (ama),JAMA Network Open,closed,2023-06-05,,cc-by,3000,APC600412496,2023-05-05,2023
10.3389/fmicb.2023.1193094,,frontiers,Frontiers in Microbiology,closed,2023-06-05,,cc-by,3230,2023-0930188-1,2023-05-05,2023
10.1186/s12889-023-15690-z,OPP1181398,springer/nature/bmc,BMC Public Health,gold,2023-06-05,gold,cc-by,1190,1452431018,2023-05-05,2023
10.1038/s41598-023-35541-6,,springer/nature/bmc,Scientific Reports,gold,2023-06-05,gold,cc-by,2390,1452446905,2023-08-17,2023
10.3389/ijph.2023.1605959,OPP1152504,frontiers,International Journal of Public Health,gold,2023-06-02,,cc-by,2540,2023-SSPH0358794-3,2023-05-21,2023
10.1186/s12939-023-01901-x,INV-001299,springer/nature/bmc,International Journal for Equity in Health,gold,2023-06-02,gold,cc-by,3270,6106666277,2023-06-02,2023
10.1186/s12889-023-15964-6,OPP1212592,springer/nature/bmc,BMC Public Health,gold,2023-06-02,gold,cc-by,2870,6106668339,2023-06-09,2023
10.1016/j.onehlt.2023.100504,OPP1140133,elsevier,One Health,gold,2023-06-01,hybrid,cc-by,2100,1289170,2023-03-08,2023
10.1016/j.ijregi.2023.02.011,OPP1188728,elsevier,IJID Regions,gold,2023-06-01,green,cc-by,900,OAD0000294125,2023-05-21,2023
10.1136/bmjopen-2022-067941,OPP1137224,bmj,BMJ Open,closed,2023-06-01,,cc-by,2800,APC600420036,2023-05-30,2023
10.1016/j.onehlt.2022.100476,OPP1193112,elsevier,One Health,gold,2023-06-01,hybrid,cc-by,2100,1284170,2023-02-06,2023
10.1016/j.evalprogplan.2023.102258,OPP1033910,elsevier,Evaluation and Program Planning,transformative,2023-06-01,hybrid,cc-by,3590,1289170,2023-03-08,2023
10.1016/j.ssmqr.2022.100216,INV-008737,elsevier,SSM - Qualitative Research in Health,gold,2023-06-01,hybrid,cc-by,730,1284170,2023-02-06,2023
10.1136/bmjopen-2022-066733,INV-008648,bmj,BMJ Open,closed,2023-06-01,,cc-by,3060,APC600408352,2023-04-21,2023
10.3389/fpubh.2023.1149719,,frontiers,Frontiers in Public Health,gold,2023-06-01,gold,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.1088/2515-7620/acdc87,OPP1113374,iop publishing,Environmental Research Communications,gold,2023-06-01,gold,cc-by,1570,8229022,2023-06-26,2023
10.1016/s2666-5247(23)00010-1,,elsevier,The Lancet Microbe,gold,2023-06-01,gold,cc-by,6000,1300171,2023-06-22,2023
10.1016/s2214-109x(23)00133-x,,elsevier,The Lancet Global Health,gold,2023-06-01,gold,cc-by,5500,1300171,2023-06-22,2023
10.1016/j.gfs.2023.100684,INV-005431,elsevier,Global Food Security,transformative,2023-06-01,hybrid,cc-by,3650,1292170,2023-06-22,2023
10.1016/j.omtm.2023.03.008,,elsevier,Molecular Therapy - Methods &amp; Clinical Development,gold,2023-06-01,gold,cc-by,3900,1292170,2023-06-22,2023
10.1016/j.epidem.2023.100682,,elsevier,Epidemics,gold,2023-06-01,gold,cc-by,2720,1292170,2023-06-22,2023
10.1016/j.vaccine.2023.03.038,INV-008443,elsevier,Vaccine,transformative,2023-06-01,hybrid,cc-by,3350,1292170,2023-06-22,2023
10.1016/j.jgar.2023.04.016,,elsevier,Journal of Global Antimicrobial Resistance,gold,2023-06-01,,cc-by,620,1310171,2023-06-22,2023
10.1016/j.eclinm.2023.102006,,elsevier,eClinicalMedicine,gold,2023-06-01,hybrid,cc-by,5000,1310171,2023-06-22,2023
10.1016/j.isci.2023.106797,,elsevier,iScience,gold,2023-06-01,gold,cc-by,1500,1310171,2023-06-22,2023
10.1016/j.lana.2023.100511,,elsevier,The Lancet Regional Health - Americas,gold,2023-06-01,gold,cc-by,4000,1310171,2023-06-22,2023
10.1016/j.bmcl.2023.129328,OPP1107194,elsevier,Bioorganic &amp; Medicinal Chemistry Letters,transformative,2023-06-01,hybrid,cc-by,3550,1310171,2023-06-22,2023
10.1016/s2214-109x(23)00192-4,INV-018460,elsevier,The Lancet Global Health,gold,2023-06-01,hybrid,cc-by,5500,1310171,2023-06-22,2023
10.1016/s2214-109x(23)00169-9,,elsevier,The Lancet Global Health,gold,2023-06-01,gold,cc-by,5500,1310171,2023-06-22,2023
10.1016/s2214-109x(23)00163-8,,elsevier,The Lancet Global Health,gold,2023-06-01,hybrid,cc-by,5500,1310171,2023-06-22,2023
10.1016/s2214-109x(23)00050-5,,elsevier,The Lancet Global Health,gold,2023-06-01,gold,cc-by,5500,1310171,2023-06-22,2023
10.1016/j.gfs.2023.100702,,elsevier,Global Food Security,transformative,2023-06-01,hybrid,cc-by,3760,1310171,2023-06-22,2023
10.1016/j.crmeth.2023.100509,,elsevier,Cell Reports Methods,gold,2023-06-01,gold,cc-by,5200,1315170,2023-07-07,2023
10.1016/j.eclinm.2023.102022,,elsevier,eClinicalMedicine,gold,2023-06-01,green,cc-by,4500,1315170,2023-07-07,2023
10.1016/j.isci.2023.106963,INV-050234,elsevier,iScience,gold,2023-06-01,gold,cc-by,3150,1315170,2023-07-07,2023
10.1016/j.soisec.2023.100092,,elsevier,Soil Security,gold,2023-06-01,gold,cc-by,650,1315170,2023-07-07,2023
10.1016/j.eclinm.2023.102042,,elsevier,eClinicalMedicine,gold,2023-06-01,gold,cc-by,5000,1315170,2023-07-07,2023
10.1016/j.celrep.2023.112657,,elsevier,Cell Reports,gold,2023-06-01,gold,cc-by,5200,1315170,2023-07-07,2023
10.1016/j.advnut.2023.06.005,,elsevier,Advances in Nutrition,hybrid,2023-06-01,hybrid,cc-by,5000,1323170,2023-08-01,2023
10.1016/j.eclinm.2023.102034,,elsevier,eClinicalMedicine,gold,2023-06-01,gold,cc-by-nc-nd,5000,1323170,2023-08-01,2023
10.3389/fnut.2023.1174441,INV-006627,frontiers,Frontiers in Nutrition,gold,2023-05-31,gold,cc-by,3230,2023-0930188-1,2023-05-05,2023
10.1001/jamanetworkopen.2023.15985,INV-003612,american medical association (ama),JAMA Network Open,gold,2023-05-31,gold,cc-by,3000,APC600412239,2023-05-05,2023
10.3389/frph.2023.1156864,INV-041535,frontiers,Frontiers in Reproductive Health,gold,2023-05-31,gold,cc-by,2080,2023-0950497-1,2023-06-07,2023
10.3389/fpls.2023.1173012,OPP1194925,frontiers,Frontiers in Plant Science,gold,2023-05-31,gold,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.12688/gatesopenres.14679.1,OPP1055878,f1000 research ltd,Gates Open Research,closed,2023-05-30,,cc-by,1180,6686128413,2023-06-07,2023
10.1186/s12889-023-15526-w,OPP1198125,springer/nature/bmc,BMC Public Health,gold,2023-05-30,gold,cc-by,3070,6106662233,2023-06-22,2023
10.7717/peerj.15230,INV-025569;INV-040420,peerj,PeerJ,gold,2023-05-29,gold,cc-by,1500,INV-04042023-79837,2023-04-09,2023
10.1186/s12884-023-05692-5,OPP1182749,springer/nature/bmc,BMC Pregnancy and Childbirth,gold,2023-05-29,gold,cc-by,2970,6106664996,2023-05-25,2023
10.1016/j.jdeveco.2023.103092,,elsevier,Journal of Development Economics,transformative,2023-05-29,hybrid,cc-by,3660,1300171,2023-06-22,2023
10.5334/aogh.4030,,"ubiquity press, ltd.",Annals of Global Health,gold,2023-05-29,gold,cc-by,1370,UP-6709,2023-07-26,2023
10.1111/mcn.13528,OPP1149709,wiley,Maternal &amp; Child Nutrition,gold,2023-05-27,gold,cc-by,3400,6289989,2023-06-09,2023
10.12688/gatesopenres.13587.2,OPP1128035,f1000 research ltd,Gates Open Research,gold,2023-05-26,gold,cc-by,1150,6686126506,2022-05-06,2022
10.3389/fgene.2023.1150132,,frontiers,Frontiers in Genetics,gold,2023-05-26,gold,cc-by,3230,2023-0950497-1,2023-06-07,2023
10.3390/vaccines11061030,INV-002740,mdpi,Vaccines,gold,2023-05-26,gold,cc-by,2230,BMGF_Q2.2023,2023-07-12,2023
10.7554/elife.81752,OPP48979,"elife sciences publications, ltd",eLife,gold,2023-05-25,gold,cc-by,3000,P010954,2023-05-01,2023
10.1371/journal.pone.0282881,OPPGH5298,plos,PLOS ONE,gold,2023-05-25,gold,cc-by,1700,PAB 356702.00,2023-05-25,2023
10.1007/s00497-023-00469-4,INV-002955,springer/nature/bmc,Plant Reproduction,transformative,2023-05-25,hybrid,cc-by,4330,2939043047,2023-06-02,2023
10.1016/j.ijpharm.2023.122985,INV-010674,elsevier,International Journal of Pharmaceutics,transformative,2023-05-25,hybrid,cc-by,4050,1310171,2023-06-22,2023
10.3390/healthcare11111546,INV-005598,mdpi,Healthcare,gold,2023-05-25,gold,cc-by,1570,BMGF_Q2.2023,2023-07-12,2023
